sample_id,runtime_seconds,peak_gpu_memory_mb
real::2cDpv_b2zRI_22_0to167,63.63319402374327,480.8642578125
open_sora::2cDpv_b2zRI_22_0to167,20.155120912007987,443.9345703125
real::t2-U8ebk4aA_37_45to159,39.811671163886786,479.4580078125
open_sora::t2-U8ebk4aA_37_45to159,20.394841570407152,443.9345703125
real::-ilQvzqe0sY_33_0to159,56.10284129995853,479.69287109375
open_sora::-ilQvzqe0sY_33_0to159,17.44907190091908,443.46533203125
real::RM6jlL-dIs8_2_0to236,58.14956102799624,480.162109375
open_sora::RM6jlL-dIs8_2_0to236,18.094269474968314,443.69970703125
real::NDSxhgwiGQQ_9_0to127,55.88232684973627,481.205078125
open_sora::NDSxhgwiGQQ_9_0to127,19.56174727715552,443.4033203125
real::GASOKMyqOYc_19_0to898,68.80507394950837,482.56982421875
open_sora::GASOKMyqOYc_19_0to898,22.16951970756054,444.98583984375
real::CS1fBMbE9CU_21_141to320,50.69128140527755,479.69287109375
open_sora::CS1fBMbE9CU_21_141to320,16.67072792071849,443.69970703125
real::TqHhTVVJ3m8_44_0to175,78.5710583711043,482.56982421875
open_sora::TqHhTVVJ3m8_44_0to175,20.52598287537694,443.9345703125
real::_h_SRIVIPiQ_182_23to274,51.30301110167056,479.69287109375
open_sora::_h_SRIVIPiQ_182_23to274,17.235595476813614,443.23095703125
real::BDxqrmTsgaw_9_0to242,55.74286898691207,479.69287109375
open_sora::BDxqrmTsgaw_9_0to242,24.694645415060222,443.4033203125
real::XFWddUg2yU4_38_0to108,76.6388670289889,482.56982421875
open_sora::XFWddUg2yU4_38_0to108,26.109705342911184,446.1328125
real::6Vj-HMj6c9I_30_0to110,46.05065832193941,479.45849609375
open_sora::6Vj-HMj6c9I_30_0to110,15.404588783159852,443.23095703125
real::zolFQPEzhSs_10_0to122,50.219423859380186,479.69287109375
open_sora::zolFQPEzhSs_10_0to122,15.796537595801055,443.69970703125
real::zIGH4gaF1BQ_41_0to163,58.17753594741225,481.205078125
open_sora::zIGH4gaF1BQ_41_0to163,18.695433158427477,443.46533203125
real::8ZuDT6crP_o_16_0to184,49.928019667975605,479.45849609375
open_sora::8ZuDT6crP_o_16_0to184,15.170542255975306,443.23095703125
real::rGslzbh1q_I_13_0to316,52.60397973563522,480.162109375
open_sora::rGslzbh1q_I_13_0to316,21.70673516392708,443.69970703125
real::gwBkO3YW_Ds_12_0to171,50.26549085788429,479.45849609375
open_sora::gwBkO3YW_Ds_12_0to171,15.638270159251988,442.99609375
real::lPYcWr_eURI_21_52to158,42.05797650851309,479.4580078125
open_sora::lPYcWr_eURI_21_52to158,14.217304276302457,442.99560546875
real::dt95ynNf9CM_28_0to107,41.52996820677072,479.22314453125
open_sora::dt95ynNf9CM_28_0to107,26.12145233899355,446.1328125
real::dzkTqs620EI_41_198to346,61.851475114002824,482.4990234375
open_sora::dzkTqs620EI_41_198to346,28.292824896983802,445.18896484375
real::bManqDAYG1g_28_0to109,50.692224856466055,479.45849609375
open_sora::bManqDAYG1g_28_0to109,15.011408338323236,442.99609375
real::ZoHr5IEdsME_5_0to123,49.942347984761,479.92724609375
open_sora::ZoHr5IEdsME_5_0to123,16.423289569094777,443.46533203125
real::pCSAdeg-M1E_4_21to171,53.59670820925385,479.69287109375
open_sora::pCSAdeg-M1E_4_21to171,19.15564103797078,443.9345703125
real::H5q2_ey2X6c_5_0to106,58.06725915707648,479.45849609375
open_sora::H5q2_ey2X6c_5_0to106,14.28495478630066,443.23095703125
real::nERor9FolXY_45_0to103,51.14986943639815,480.162109375
open_sora::nERor9FolXY_45_0to103,13.461676007136703,443.46533203125
real::nIHO3UXk0og_36_0to201,41.75060815922916,479.22314453125
open_sora::nIHO3UXk0og_36_0to201,12.866126569919288,443.9345703125
real::j8volTmylKU_25_0to102,64.67052019387484,480.8642578125
open_sora::j8volTmylKU_25_0to102,19.944077614694834,444.9853515625
real::gaArEszlVb0_157_0to216,40.81461482681334,480.162109375
open_sora::gaArEszlVb0_157_0to216,20.049415286630392,443.9345703125
real::oXwNwVMsRi0_9_0to117,54.054564798250794,480.162109375
open_sora::oXwNwVMsRi0_9_0to117,19.045394740998745,443.9345703125
real::vhuW6tZeqm4_2_81to594,58.35469753481448,479.92724609375
open_sora::vhuW6tZeqm4_2_81to594,19.033909850753844,443.46533203125
